Année;Trimestre;﻿Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2001;1;2001-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;267994;310986
2001;1;2001-01-31;Contrat de plus d'un mois;CDI;372114;299570
2001;2;2001-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;273660;306384
2001;2;2001-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;265534;310512
2001;2;2001-06-30;Contrat de plus d'un mois;CDI;258372;292052
2001;4;2001-12-31;Contrat de plus d'un mois;CDI;230555;292116
2002;2;2002-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;249046;299239
2002;2;2002-05-31;Contrat de plus d'un mois;CDI;231656;268450
2002;3;2002-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;424799;289782
2002;3;2002-09-30;Contrat de plus d'un mois;CDI;372527;265801
2002;4;2002-10-31;Contrat de plus d'un mois;CDI;333036;261441
2002;4;2002-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;232826;289277
2002;4;2002-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;190226;272745
2003;2;2003-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;256697;284971
2003;2;2003-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;453798;341404
2003;2;2003-06-30;Contrat de plus d'un mois;CDI;225351;247940
2003;4;2003-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;207457;287526
2004;2;2004-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;267790;307696
2004;2;2004-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;258549;298324
2005;4;2005-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;261552;310557
2006;4;2006-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;265805;316746
2006;4;2006-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;214211;319586
2006;4;2006-12-31;Contrat de plus d'un mois;CDI;214616;282937
2007;1;2007-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;279701;307406
2007;2;2007-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;396053;319364
2007;4;2007-12-31;Contrat de plus d'un mois;CDI;222263;288886
2008;3;2008-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;570686;315423
2010;2;2010-05-31;Contrat de plus d'un mois;CDI;228671;259922
2010;3;2010-08-31;Contrat de plus d'un mois;CDI;196516;256635
2011;2;2011-06-30;Contrat de plus d'un mois;CDI;254970;284782
2011;3;2011-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;263915;373917
2011;4;2011-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;347520;339139
2011;4;2011-10-31;Contrat de plus d'un mois;CDI;346553;285165
2011;4;2011-11-30;Contrat de plus d'un mois;CDI;275649;282367
2011;4;2011-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;227793;337317
2012;1;2012-02-29;Contrat de plus d'un mois;CDI;233976;264101
2012;4;2012-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;222403;327493
2000;1;2000-01-31;Contrat de plus d'un mois;CDI;278991;226798
2000;1;2000-02-29;Contrat de plus d'un mois;CDI;220420;228492
2000;2;2000-04-30;Contrat de plus d'un mois;CDI;274223;282804
2000;3;2000-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;203978;326999
2000;3;2000-08-31;Contrat de plus d'un mois;CDI;195688;289666
